AAPL
MSFT
AMZN
FB
GOOG
GOOGL
BRKB
JPM
JNJ
V
PG
MA
INTC
UNH
BAC
T
HD
XOM
DIS
VZ
KO
CVX
MRK
CMCSA
PFE
PEP
CSCO
WFC
ADBE
BA
C
WMT
MCD
NFLX
NVDA
MDT
CRM
BMY
ABT
PYPL
ABBV
COST
PM
IBM
ACN
NEE
TMO
AMGN
HON
UNP
NKE
AVGO
TXN
UTX
LLY
LIN
TSLA
ORCL
AMT
GE
LMT
SBUX
QCOM
DHR
LOW
FIS
CVS
AXP
MMM
MO
GILD
MDLZ
CHTR
BKNG
CI
USB
ADP
TJX
GS
ANTM
CAT
SYK
CB
INTU
SPGI
UPS
CME
TFC
DUK
SO
PLD
D
ZTS
ISRG
FISV
BDX
CCI
PNC
BLK
XTSLA
MU
NOW
AGN
MS
COP
CL
RTN
AMAT
VRTX
GPN
MMC
ITW
BIIB
CSX
TGT
BSX
NOC
AMD
APD
AON
NSC
SCHW
EQIX
DE
WM
ECL
ICE
AEP
LHX
HUM
KMB
LRCX
PGR
GD
EXC
SHW
COF
SLB
ATVI
EW
EL
ADSK
BAX
SRE
EMR
MCO
AIG
EOG
GM
ADI
KMI
ILMN
ROST
SPG
ETN
DG
MET
HCA
PSX
ALL
WBA
MAR
ROP
DD
FDX
PRU
USD
MPC
CTSH
UBER
AFL
CNC
BK
OXY
SYY
XEL
DOW
NEM
WELL
TRV
IR
VLO
DAL
PSA
HPQ
REGN
ZBH
SBAC
F
TDG
WEC
JCI
STZ
INFO
YUM
GIS
WDAY
EA
OKE
MSI
HLT
TROW
AVB
EQR
ED
APH
MCK
LULU
ES
TMUS
PEG
IQV
ORLY
EBAY
PAYX
STT
KLAC
PPG
TWTR
FE
SQ
LUV
VRSK
WLTW
PH
FLT
EIX
MNST
A
ETR
PPL
SPLK
DLR
WMB
CSGP
VFC
MCHP
MSCI
O
SWK
PCAR
AZO
ADM
RMD
CTAS
BLL
CMI
DTE
AWK
ANSS
IDXX
CERN
SNPS
DFS
LVS
CMG
TSN
ROK
APTV
PANW
HSY
PXD
XLNX
CTVA
AME
DXCM
KR
FTV
MTB
WY
AMP
BXP
LYB
ALXN
CDNS
FAST
VRSN
SYF
VTR
GLW
CBRE
ALGN
RSG
ESS
AEE
HIG
SWKS
FITB
DLTR
CLX
DHI
CPRT
WDC
MKC
BBY
VEEV
AJG
NTRS
FRC
CDW
ARE
KEY
RCL
HAL
EFX
LEN
